CURR_TIME,STATUS,Status code,Longitude,Latitude
2015-Mar-02 12:00:02,water column,0,-88.367002,28.736689
2015-Mar-02 12:00:02,water column,0,-88.369304,28.73732
2015-Mar-02 12:00:02,surfaced,1,-88.372393,28.739734
2015-Mar-02 13:10:00,surfaced,1,-88.521831,28.812767
2015-Mar-02 13:10:00,water column,0,-88.333761,28.735307
2015-Mar-02 13:10:00,water column,0,-88.355493,28.738549
2015-Mar-02 13:10:00,water column,0,-88.343549,28.737906
2015-Mar-02 13:10:00,surfaced,1,-88.446888,28.774327
2015-Mar-02 13:10:00,surfaced,1,-88.482177,28.790818
2015-Mar-02 13:10:00,surfaced,1,-88.494277,28.797851
2015-Mar-02 13:10:00,surfaced,1,-88.499573,28.800306
2015-Mar-02 13:10:00,surfaced,1,-88.506183,28.803245
2015-Mar-02 13:10:00,surfaced,1,-88.510349,28.804804
2015-Mar-02 13:00:02,surfaced,1,-88.524737,28.808478
2015-Mar-02 13:10:00,surfaced,1,-88.504144,28.802976
2015-Mar-02 13:10:00,water column,0,-88.33999,28.731735
2015-Mar-02 13:10:00,water column,0,-88.347739,28.734143
2015-Mar-02 13:10:00,water column,0,-88.342482,28.732297
2015-Mar-02 13:10:00,surfaced,1,-88.384805,28.753755
2015-Mar-02 13:10:00,surfaced,1,-88.421643,28.767304
2015-Mar-02 13:10:00,surfaced,1,-88.440147,28.768954
2015-Mar-02 13:10:00,surfaced,1,-88.450354,28.774043
2015-Mar-02 13:10:00,surfaced,1,-88.466867,28.781147
2015-Mar-02 13:10:00,surfaced,1,-88.479072,28.788733
2015-Mar-02 13:00:01,surfaced,1,-88.505728,28.806642
2015-Mar-02 13:00:02,surfaced,1,-88.503984,28.805471
2015-Mar-02 13:00:02,surfaced,1,-88.465023,28.780427
2015-Mar-02 13:00:02,water column,0,-88.350533,28.730805
2015-Mar-02 13:00:02,water column,0,-88.351539,28.73098
2015-Mar-02 13:00:02,water column,0,-88.363481,28.733796
2015-Mar-02 13:00:02,surfaced,1,-88.373283,28.746899
2015-Mar-02 13:00:02,surfaced,1,-88.386978,28.751751
2015-Mar-02 13:00:02,surfaced,1,-88.393933,28.753573
2015-Mar-02 13:00:02,surfaced,1,-88.410308,28.761767
2015-Mar-02 13:00:02,surfaced,1,-88.42363,28.767058
2015-Mar-02 13:00:01,surfaced,1,-88.454157,28.785808
2015-Mar-02 13:00:02,surfaced,1,-88.412861,28.763667
2015-Mar-02 13:00:02,water column,0,-88.361432,28.734286
2015-Mar-02 13:00:02,water column,0,-88.363397,28.73486
2015-Mar-02 13:00:02,water column,0,-88.365523,28.734857
2015-Mar-02 13:00:02,water column,0,-88.366959,28.734676
2015-Mar-02 13:00:02,water column,0,-88.368488,28.73613
2015-Mar-02 13:00:02,surfaced,1,-88.371751,28.741098
2015-Mar-02 13:00:02,surfaced,1,-88.378942,28.748536
2015-Mar-02 13:00:01,surfaced,1,-88.392778,28.768201
2015-Mar-02 13:10:00,surfaced,1,-88.374227,28.745896
2015-Mar-02 13:10:00,water column,0,-88.369003,28.739294
2015-Mar-02 13:10:00,water column,0,-88.369267,28.739254
2015-Mar-02 14:10:00,surfaced,1,-88.529891,28.827091
2015-Mar-02 14:10:00,water column,0,-88.332575,28.733781
2015-Mar-02 14:10:00,water column,0,-88.35747,28.73695
2015-Mar-02 14:10:00,water column,0,-88.344094,28.736812
2015-Mar-02 14:10:00,surfaced,1,-88.45753,28.786538
2015-Mar-02 14:10:00,surfaced,1,-88.492402,28.805584
2015-Mar-02 14:10:00,surfaced,1,-88.50397,28.81257
2015-Mar-02 14:10:00,surfaced,1,-88.507993,28.814685
2015-Mar-02 14:10:00,surfaced,1,-88.514189,28.817519
2015-Mar-02 14:10:00,surfaced,1,-88.518363,28.819086
