Current Time,Status,Status code,Longitude,Latitude
2015-Mar-02 18:00:01,surfaced,1,-88.49072,28.857994
2015-Mar-02 18:00:01,surfaced,1,-88.433911,28.804611
2015-Mar-02 18:00:01,water column,0,-88.362683,28.729449
2015-Mar-02 18:00:01,water column,0,-88.362381,28.728299
2015-Mar-02 18:00:01,water column,0,-88.362466,28.729221
2015-Mar-02 18:00:01,surfaced,1,-88.367957,28.738187
2015-Mar-02 18:00:01,surfaced,1,-88.369132,28.76245
2015-Mar-02 18:00:01,surfaced,1,-88.377342,28.772203
2015-Mar-02 18:00:01,surfaced,1,-88.381311,28.775481
2015-Mar-02 18:00:01,surfaced,1,-88.38853,28.782832
2015-Mar-02 18:00:01,surfaced,1,-88.396604,28.787736
2015-Mar-02 18:00:01,surfaced,1,-88.417372,28.815824
2015-Mar-02 18:10:00,surfaced,1,-88.391366,28.786612
2015-Mar-02 18:10:00,water column,0,-88.366429,28.734823
2015-Mar-02 18:10:00,water column,0,-88.374797,28.732738
2015-Mar-02 18:10:00,surfaced,1,-88.372157,28.73639
2015-Mar-02 18:10:00,surfaced,1,-88.371757,28.747434
2015-Mar-02 18:10:00,surfaced,1,-88.371871,28.750783
2015-Mar-02 18:10:00,surfaced,1,-88.372444,28.75995
2015-Mar-02 18:10:00,surfaced,1,-88.375067,28.768465
2015-Mar-02 18:10:00,surfaced,1,-88.371511,28.767394
2015-Mar-02 18:10:00,water column,0,-88.368713,28.739037
2015-Mar-02 18:10:00,water column,0,-88.369962,28.738419
2015-Mar-02 18:10:00,water column,0,-88.371085,28.738523
2015-Mar-02 18:10:00,water column,0,-88.372715,28.73784
2015-Mar-02 18:10:00,water column,0,-88.374198,28.737079
2015-Mar-02 18:10:00,water column,0,-88.3742,28.738411
2015-Mar-02 18:10:00,surfaced,1,-88.372651,28.74403
2015-Mar-02 20:10:00,surfaced,1,-88.533679,28.894643
2015-Mar-02 20:10:00,water column,0,-88.335599,28.732142
